"Time (s) Run #1","Position (m) Run #1"
49.150,0.5263
49.200,0.5540
49.250,0.5770
49.300,0.5949
49.350,0.6072
49.400,0.6156
49.450,0.6160
49.500,0.6081
49.550,0.5966
49.600,0.5794
49.650,0.5568
49.700,0.5298
49.750,0.4991
49.800,0.4656
49.850,0.4286
49.900,0.3933
49.950,0.3585
50.000,0.3232
50.050,0.2934
50.100,0.2655
50.150,0.2448
50.200,0.2296
50.250,0.2202
50.300,0.2174
50.350,0.2209
50.400,0.2304
50.450,0.2456
50.500,0.2689
50.550,0.2950
50.600,0.3256
50.650,0.3605
50.700,0.3956
50.750,0.4308
50.800,0.4678
50.850,0.5012
50.900,0.5315
50.950,0.5579
51.000,0.5801
51.050,0.5966
51.100,0.6080
51.150,0.6131
51.200,0.6145
51.250,0.6055
51.300,0.5930
51.350,0.5747
51.400,0.5515
51.450,0.5240
51.500,0.4927
51.550,0.4588
51.600,0.4219
51.650,0.3869
51.700,0.3524
51.750,0.3181
51.800,0.2887
51.850,0.2640
51.900,0.2424
51.950,0.2284
52.000,0.2202
52.050,0.2187
52.100,0.2231
52.150,0.2340
52.200,0.2506
52.250,0.2744
52.300,0.3015
52.350,0.3321
52.400,0.3677
52.450,0.4022
52.500,0.4375
52.550,0.4742
52.600,0.5069
52.650,0.5365
52.700,0.5619
52.750,0.5829
52.800,0.5986
52.850,0.6084
52.900,0.6126
52.950,0.6105
53.000,0.6027
53.050,0.5889
53.100,0.5698
53.150,0.5458
53.200,0.5178
53.250,0.4861
53.300,0.4500
53.350,0.4147
53.400,0.3802
53.450,0.3461
53.500,0.3123
53.550,0.2840
53.600,0.2585
53.650,0.2396
53.700,0.2271
53.750,0.2203
53.800,0.2199
53.850,0.2257
53.900,0.2376
53.950,0.2547
54.000,0.2799
54.050,0.3075
54.100,0.3385
54.150,0.3744
54.200,0.4089
54.250,0.4444
54.300,0.4800
54.350,0.5122
54.400,0.5410
54.450,0.5656
54.500,0.5855
54.550,0.6002
54.600,0.6088
54.650,0.6118
54.700,0.6085
54.750,0.5996
54.800,0.5848
54.850,0.5650
54.900,0.5401
54.950,0.5111
55.000,0.4792
55.050,0.4435
55.100,0.4081
55.150,0.3737
55.200,0.3382
55.250,0.3073
55.300,0.2799
55.350,0.2552
55.400,0.2380
55.450,0.2263
55.500,0.2207
55.550,0.2214
55.600,0.2284
55.650,0.2412
55.700,0.2597
55.750,0.2854
55.800,0.3138
55.850,0.3452
55.900,0.3811
55.950,0.4156
56.000,0.4506
56.050,0.4862
56.100,0.5176
56.150,0.5455
56.200,0.5690
56.250,0.5880
56.300,0.6012
56.350,0.6090
56.400,0.6108
56.450,0.6065
56.500,0.5964
56.550,0.5805
56.600,0.5597
56.650,0.5345
56.700,0.5049
56.750,0.4726
56.800,0.4364
56.850,0.4017
56.900,0.3673
56.950,0.3325
57.000,0.3023
57.050,0.2759
57.100,0.2520
57.150,0.2360
57.200,0.2257
57.250,0.2213
57.300,0.2231
57.350,0.2315
57.400,0.2451
57.450,0.2667
57.500,0.2916
57.550,0.3203
57.600,0.3541
57.650,0.3883
57.700,0.4227
57.750,0.4594
57.800,0.4924
57.850,0.5229
57.900,0.5500
57.950,0.5725
58.000,0.5901
58.050,0.6025
58.100,0.6089
58.150,0.6094
58.200,0.6041
58.250,0.5929
58.300,0.5762
58.350,0.5547
58.400,0.5284
58.450,0.4987
58.500,0.4661
58.550,0.4297
58.600,0.3950
58.650,0.3609
58.700,0.3265
58.750,0.2973
58.800,0.2718
58.850,0.2493
58.900,0.2346
58.950,0.2252
59.000,0.2220
59.050,0.2252
59.100,0.2346
59.150,0.2494
59.200,0.2719
59.250,0.2972
59.300,0.3265
59.350,0.3610
59.400,0.3950
59.450,0.4294
59.500,0.4658
59.550,0.4983
59.600,0.5281
59.650,0.5542
59.700,0.5756
59.750,0.5923
59.800,0.6034
59.850,0.6086
59.900,0.6079
